mode,ridership,date
bus_rpn,1418782.0,2024-08-01
bus_rpn,1311581.0,2024-09-01
bus_rpn,1396412.0,2024-10-01
bus_rpn,1355805.0,2024-11-01
bus_rpn,1468776.0,2024-12-01
bus_rpn,1500325.0,2025-01-01
bus_rpn,1302770.0,2025-02-01
bus_rpn,1372950.0,2025-03-01
bus_rpn,1383024.0,2025-04-01
bus_rpn,1444377.0,2025-05-01
bus_rpn,1422570.0,2025-06-01
bus_rpn,1553555.0,2025-07-01
bus_rpn,1554570.0,2025-08-01
rail_ets,0.0,2019-01-01
rail_ets,0.0,2019-02-01
rail_ets,0.0,2019-03-01
rail_ets,0.0,2019-04-01
rail_ets,0.0,2019-05-01
rail_ets,0.0,2019-06-01
rail_ets,0.0,2019-07-01
rail_ets,0.0,2019-08-01
rail_ets,0.0,2019-09-01
rail_ets,0.0,2019-10-01
rail_ets,0.0,2019-11-01
rail_ets,0.0,2019-12-01
rail_ets,0.0,2020-01-01
rail_ets,0.0,2020-02-01
rail_ets,0.0,2020-03-01
rail_ets,0.0,2020-04-01
rail_ets,0.0,2020-05-01
rail_ets,0.0,2020-06-01
rail_ets,0.0,2020-07-01
rail_ets,0.0,2020-08-01
rail_ets,0.0,2020-09-01
rail_ets,16411.0,2020-10-01
rail_ets,35212.0,2020-11-01
rail_ets,109849.0,2020-12-01
rail_ets,68828.0,2021-01-01
rail_ets,28999.0,2021-02-01
rail_ets,56682.0,2021-03-01
rail_ets,66256.0,2021-04-01
rail_ets,36410.0,2021-05-01
rail_ets,3556.0,2021-06-01
rail_ets,5055.0,2021-07-01
rail_ets,5544.0,2021-08-01
rail_ets,8146.0,2021-09-01
rail_ets,58988.0,2021-10-01
rail_ets,123610.0,2021-11-01
rail_ets,172260.0,2021-12-01
rail_ets,166474.0,2022-01-01
rail_ets,174186.0,2022-02-01
rail_ets,193275.0,2022-03-01
rail_ets,212394.0,2022-04-01
rail_ets,303930.0,2022-05-01
rail_ets,306601.0,2022-06-01
rail_ets,314801.0,2022-07-01
rail_ets,296386.0,2022-08-01
rail_ets,322210.0,2022-09-01
rail_ets,342914.0,2022-10-01
rail_ets,324250.0,2022-11-01
rail_ets,381110.0,2022-12-01
rail_ets,335155.0,2023-01-01
rail_ets,314452.0,2023-02-01
rail_ets,348738.0,2023-03-01
rail_ets,346644.0,2023-04-01
rail_ets,340300.0,2023-05-01
rail_ets,345721.0,2023-06-01
rail_ets,349585.0,2023-07-01
rail_ets,349916.0,2023-08-01
rail_ets,330003.0,2023-09-01
rail_ets,332235.0,2023-10-01
rail_ets,344658.0,2023-11-01
rail_ets,377571.0,2023-12-01
rail_ets,329142.0,2024-01-01
rail_ets,367019.0,2024-02-01
rail_ets,336265.0,2024-03-01
rail_ets,348036.0,2024-04-01
rail_ets,351439.0,2024-05-01
rail_ets,354583.0,2024-06-01
rail_ets,349288.0,2024-07-01
rail_ets,338725.0,2024-08-01
rail_ets,339388.0,2024-09-01
rail_ets,331835.0,2024-10-01
rail_ets,335093.0,2024-11-01
rail_ets,364307.0,2024-12-01
rail_ets,352896.0,2025-01-01
rail_ets,324802.0,2025-02-01
rail_ets,314978.0,2025-03-01
rail_ets,338999.0,2025-04-01
rail_ets,339822.0,2025-05-01
rail_ets,351007.0,2025-06-01
rail_ets,343546.0,2025-07-01
rail_ets,347571.0,2025-08-01
rail_intercity,0.0,2019-01-01
rail_intercity,0.0,2019-02-01
rail_intercity,0.0,2019-03-01
rail_intercity,0.0,2019-04-01
rail_intercity,0.0,2019-05-01
rail_intercity,0.0,2019-06-01
rail_intercity,0.0,2019-07-01
rail_intercity,0.0,2019-08-01
rail_intercity,0.0,2019-09-01
rail_intercity,0.0,2019-10-01
rail_intercity,0.0,2019-11-01
rail_intercity,0.0,2019-12-01
rail_intercity,0.0,2020-01-01
rail_intercity,0.0,2020-02-01
rail_intercity,0.0,2020-03-01
rail_intercity,0.0,2020-04-01
rail_intercity,0.0,2020-05-01
rail_intercity,0.0,2020-06-01
rail_intercity,0.0,2020-07-01
rail_intercity,0.0,2020-08-01
rail_intercity,0.0,2020-09-01
rail_intercity,22575.0,2020-10-01
rail_intercity,25866.0,2020-11-01
rail_intercity,31629.0,2020-12-01
rail_intercity,12780.0,2021-01-01
rail_intercity,7338.0,2021-02-01
rail_intercity,29785.0,2021-03-01
rail_intercity,25091.0,2021-04-01
rail_intercity,13178.0,2021-05-01
rail_intercity,2128.0,2021-06-01
rail_intercity,3322.0,2021-07-01
rail_intercity,3934.0,2021-08-01
rail_intercity,12274.0,2021-09-01
rail_intercity,58390.0,2021-10-01
rail_intercity,65644.0,2021-11-01
rail_intercity,70588.0,2021-12-01
